,Dem,T_DryBulb,T_DewPnt,fest,dlf,dfnl,D_cf,med,des,der,med_d,des_d,d_s,d,j,l,m,s,v,w,d_cf,j_cf,l_cf,m_cf,s_cf,v_cf,w_cf
2015-10-09 10:00:00,0.6111157265099277,60,55,0,0,0,v_cf,0.6092002575392539,0.049349108130912964,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 11:00:00,0.616889590429509,63,56,0,0,0,v_cf,0.6040050261693113,0.04727962683541242,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 12:00:00,0.6169311290188585,65,56,0,0,0,v_cf,0.5969449198305226,0.046441424066439176,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 13:00:00,0.6185511340034893,67,56,0,0,0,v_cf,0.592654336628728,0.045930159529387345,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 14:00:00,0.6151034310874802,66,57,0,0,0,v_cf,0.586678678242087,0.04613918519664144,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 15:00:00,0.6111157265099277,65,59,0,0,0,v_cf,0.5861302650162001,0.04795879532846344,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 16:00:00,0.6152280468555288,65,59,0,0,0,v_cf,0.6129761360804187,0.054951139339799254,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 17:00:00,0.6243249979230705,64,60,0,0,0,v_cf,0.6501953559857108,0.0656026985493748,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 18:00:00,0.6339619506521559,63,60,0,0,0,v_cf,0.6418958212179114,0.0637846607412632,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 19:00:00,0.6210434493644595,61,58,0,0,0,v_cf,0.6215211431419789,0.05247563888609482,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 20:00:00,0.5940018276979314,60,57,0,0,0,v_cf,0.6048776688543657,0.044764791652985865,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 21:00:00,0.5584447952147545,60,57,0,0,0,v_cf,0.5739591467973748,0.04300865905330981,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 22:00:00,0.5115477278391626,60,56,0,0,0,v_cf,0.5304606214172967,0.0419577547227015,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 23:00:00,0.4641521973913766,59,54,0,0,0,v_cf,0.48445808756334635,0.04164754785305649,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-10 00:00:00,0.42726593004901553,58,52,0,0,0,s_cf,0.4551399019689292,0.041859279377095354,,12.313325579463323,1.1074471597032634,s,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015-10-10 01:00:00,0.40454432167483595,56,49,0,0,0,s_cf,0.43910692032898563,0.042168807857792756,,12.313325579463323,1.1074471597032634,s,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015-10-10 02:00:00,0.3912935116723436,53,44,0,0,0,s_cf,0.4317710808340949,0.042405749010449446,,12.313325579463323,1.1074471597032634,s,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015-10-10 03:00:00,0.38493810750186924,51,41,0,0,0,s_cf,0.4299866245742294,0.042732347219179796,,12.313325579463323,1.1074471597032634,s,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015-10-10 04:00:00,0.3869319597906455,49,40,0,0,0,s_cf,0.4367823377918086,0.0430072003535046,,12.313325579463323,1.1074471597032634,s,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015-10-10 05:00:00,0.40180277477776855,48,39,0,0,0,s_cf,0.4553642934285952,0.04380788299723166,,12.313325579463323,1.1074471597032634,s,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015-10-10 06:00:00,0.43096286450112153,46,39,0,0,0,s_cf,0.4872077760239263,0.04549663688214088,,12.313325579463323,1.1074471597032634,s,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015-10-10 07:00:00,0.4623244994599983,45,38,0,0,0,s_cf,0.5186267342361054,0.045296841428813336,,12.313325579463323,1.1074471597032634,s,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015-10-10 08:00:00,0.4961784497798455,47,38,0,0,0,s_cf,0.5437795962449116,0.045005098848290015,,12.313325579463323,1.1074471597032634,s,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015-10-10 09:00:00,0.5131677328237934,50,38,0,0,0,s_cf,0.5539506521558528,0.04565970641049296,,12.313325579463323,1.1074471597032634,s,0,0,0,0,1,0,0,0,0,0,0,1,0,0
